,index,ID,genre,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q
53,747,403,Sea and Adventure,475171,2413,97682,0.00874685130030653,0.003758795316226375,0.008156762960370033,0.4077107348334391,0.00021498331319997542,167,0.2052476403022051,0.1360332507524416,0.07094449335599189,0.0,0.006848754120513503,0.024702606416740033,1474,2379,0.619588062211013,0.023085112917425932,0.08607522368501873,0.0007473229458856289,0.01028848713171311,0.0016072561986855305,0.001627730799942671
54,107,207,Allegories,140074,1359,30962,0.002578453754625465,0.0021169510297354512,0.0025854271491060478,0.40349460629158324,0.0,77,0.1807376784445449,0.15609456753439702,0.059298494929268135,0.0,0.0050384342096763774,0.04389251340352691,649,608,1.0674342105263157,0.0375621729862412,0.06633938376073897,0.001873264001033525,0.007170079452231768,0.0036173373813061173,0.0029390866223112204
55,269,371,Literary,338714,2284,67191,0.006234978547369318,0.0035578485297393454,0.005610665834751775,0.4134035808367192,0.00017859534759119525,84,0.19513030018901342,0.15455939039454689,0.07503981187956721,0.0,0.007426589870667202,0.033992647824857496,509,1005,0.5064676616915423,0.03277224628298433,0.05712074533791728,0.0010269232486493727,0.0022324418448899405,0.0005953178253039842,0.001919899986605349
56,203,303,Humorous and Wit and Satire,293900,3139,65817,0.005410051533363967,0.004889705137851053,0.005495932390437076,0.417597277299178,6.077457191910905e-05,120,0.15395718431408298,0.173602564686935,0.05161280520230336,0.0,0.004785997538629837,0.047692845313520825,440,1620,0.2716049382716049,0.04624944923044198,0.057705456037194035,0.0014130087971192854,0.0025221447346430253,0.0020055608733305984,0.00416305817645897
57,122,222,Christmas Stories,55864,449,11949,0.0010283331706697674,0.0006994194351370254,0.000997780150011891,0.39191564147627417,0.00033475604653109047,35,0.19984935977906101,0.14444723407816554,0.05967026529416688,0.0,0.00736463302368399,0.03757636622311491,84,339,0.24778761061946902,0.031550757385555274,0.08117834128378944,0.0005021340697966357,0.009038413256339443,0.003682316511841995,0.0028454263955142688
58,33,133,Detective and Mystery,413488,5559,94193,0.007611403158991493,0.008659404543266648,0.007865420174915896,0.3398235537672651,0.00025479600394933804,77,0.19793402906797744,0.1542789803913242,0.04929241026403236,0.0,0.006868875606467572,0.059006507914600874,1203,2883,0.4172736732570239,0.05422908284055079,0.05515271835486713,0.0011041160171137983,0.0010934995169492425,0.0046818765725690865,0.007282919112885246
59,236,336,Western Stories,485473,4899,105667,0.00893648842482751,0.00763130470542603,0.008823536288501672,0.3789641042141823,0.00036908400919870917,298,0.18967132595796227,0.15738120699934702,0.048085021813811316,0.0,0.005223958284043268,0.04637209346342756,1168,2550,0.45803921568627454,0.03758978678300699,0.07940038044044025,0.0023564594433456046,0.00899997160892237,0.003965287175750234,0.004883265352475229
60,229,329,Western Stories,499452,9265,119038,0.009193811018855733,0.014432340905444412,0.009940058038088163,0.28933617836321174,0.001159293670928611,213,0.20467413767032377,0.15713469648347586,0.04521245316621583,0.0,0.007636217006334112,0.07782388817016415,926,3183,0.2909205152371976,0.06786068314319797,0.05242023555503285,8.400678774845007e-05,0.0002352190056956602,0.005342831700801425,0.0069305599892471315
61,154,254,Ghost and Horror,374778,3490,76901,0.006898837337771625,0.005436467324339018,0.006421482242536147,0.3806842563815815,7.802239242662644e-05,66,0.18730575675218789,0.13760549277642684,0.07969987386379891,0.0,0.0028998322518562825,0.04539602866022548,891,2482,0.3589846897663175,0.043627521098555284,0.07669601175537379,0.00015604478485325288,0.004226212923108932,0.0015214366523192157,0.0026397576104341945
62,859,356,Literary,124125,1560,28243,0.002284867800540328,0.00243005416216873,0.0023583818542795075,0.3793860425592182,7.08140070105867e-05,74,0.1745211202775909,0.1581276776546401,0.056863647629501114,0.0,0.005948376588889282,0.055234925468257624,806,1026,0.7855750487329435,0.05006550295648479,0.0649010374252027,0.000708140070105867,0.010338845023545658,0.003257444322486988,0.005098608504762242
63,496,341,Literary,492222,7560,110236,0.00906072264666716,0.011776416324356153,0.009205062567303607,0.3478355528139628,0.000127000254000508,115,0.20407126528538772,0.14793715301716318,0.055326753510649876,0.0,0.004599223484161254,0.06967778221270728,874,3051,0.2864634546050475,0.06464312928625857,0.06508763017526036,0.000435429442287456,0.00190500381000762,0.010912950397329367,0.004526651910446678
64,166,266,Ghost and Horror,214685,1914,45113,0.003951877895339378,0.002981489529737788,0.00376708142166595,0.4173519827987498,6.649967858488684e-05,121,0.19617405182541617,0.16458670449759494,0.054596236118192094,0.0,0.006140136989337885,0.04242679493715781,240,2334,0.10282776349614396,0.05135991842706093,0.06902666637111254,0.0006649967858488683,0.002903819298206725,0.00042116463103761666,0.0024161549885842216
65,200,300,Humorous and Wit and Satire,263002,3834,62650,0.004841287422176896,0.0059723254216377634,0.005231477646518116,0.3614844373503591,0.00025538707102952914,181,0.16271348762968874,0.1648683160415004,0.053663208300079805,0.0,0.00475658419792498,0.0612609736632083,754,1691,0.44589000591366057,0.05120510774142059,0.06408619313647247,0.0006384676775738228,0.0045810055865921784,0.007438148443735036,0.004309656823623304
66,193,293,Humorous and Wit and Satire,368128,5322,82436,0.006776425487833311,0.008290223237860243,0.006883672645943613,0.32084283565432575,0.0002668736959580766,319,0.21571886069193072,0.14594351982143725,0.0558008637003251,0.0,0.006817409869474501,0.06460769566694163,562,3681,0.15267590328715022,0.06563879858314328,0.06562666796059974,0.0010917560289194041,0.004257848512785676,0.0034450968023678973,0.008054733368916493
